date/time: .03/05/2018.12:36 p.m.
Run 1

time	V
24.926000	6.549746E+0
24.927000	6.542210E+0
24.928000	6.539698E+0
24.929000	6.542210E+0
24.930000	6.537186E+0
24.931000	6.527137E+0
24.932000	6.527137E+0
24.933000	6.502017E+0
24.934000	6.504529E+0
24.935000	6.484432E+0
24.936000	6.494480E+0
24.937000	6.494480E+0
24.938000	6.494480E+0
24.939000	6.504529E+0
24.940000	6.502017E+0
24.941000	6.514577E+0
24.942000	6.509553E+0
24.943000	6.529649E+0
24.944000	6.534674E+0
24.945000	6.542210E+0
24.946000	6.547234E+0
24.947000	6.549746E+0
24.948000	6.542210E+0
24.949000	6.537186E+0
24.950000	6.529649E+0
24.951000	6.527137E+0
24.952000	6.529649E+0
24.953000	6.517089E+0
24.954000	6.522113E+0
24.955000	6.509553E+0
24.956000	6.509553E+0
24.957000	6.504529E+0
24.958000	6.502017E+0
24.959000	6.517089E+0
24.960000	6.517089E+0
24.961000	6.529649E+0
24.962000	6.524625E+0
24.963000	6.539698E+0
24.964000	6.532162E+0
24.965000	6.532162E+0
24.966000	6.529649E+0
24.967000	6.534674E+0
24.968000	6.532162E+0
24.969000	6.527137E+0
24.970000	6.527137E+0
24.971000	6.519601E+0
24.972000	6.514577E+0
24.973000	6.494480E+0
24.974000	6.496993E+0
24.975000	6.484432E+0
24.976000	6.491968E+0
24.977000	6.496993E+0
24.978000	6.499505E+0
24.979000	6.517089E+0
24.980000	6.524625E+0
24.981000	6.524625E+0
24.982000	6.524625E+0
24.983000	6.539698E+0
24.984000	6.542210E+0
24.985000	6.554770E+0
24.986000	6.549746E+0
24.987000	6.557282E+0
24.988000	6.549746E+0
24.989000	6.544722E+0
24.990000	6.529649E+0
24.991000	6.522113E+0
24.992000	6.527137E+0
24.993000	6.504529E+0
24.994000	6.512065E+0
24.995000	6.502017E+0
24.996000	6.496993E+0
24.997000	6.496993E+0
24.998000	6.494480E+0
24.999000	6.502017E+0
25.000000	6.502017E+0
25.001000	6.507041E+0
25.002000	6.514577E+0
25.003000	6.534674E+0
25.004000	6.534674E+0
25.005000	6.549746E+0
25.006000	6.537186E+0
25.007000	6.539698E+0
25.008000	6.539698E+0
25.009000	6.529649E+0
25.010000	6.527137E+0
25.011000	6.519601E+0
